Time: 2019-Nov-25__15_39_52PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_39_54PM2.5: 0.3  PM10: 4.2
Time: 2019-Nov-25__15_39_56PM2.5: 0.5  PM10: 3.0
Time: 2019-Nov-25__15_39_58PM2.5: 0.6  PM10: 2.7
Time: 2019-Nov-25__15_40_00PM2.5: 0.7  PM10: 2.3
Time: 2019-Nov-25__15_40_02PM2.5: 0.6  PM10: 1.9
Time: 2019-Nov-25__15_40_04PM2.5: 0.6  PM10: 1.7
Time: 2019-Nov-25__15_40_06PM2.5: 0.6  PM10: 1.6
Time: 2019-Nov-25__15_40_08PM2.5: 0.6  PM10: 1.5
Time: 2019-Nov-25__15_40_10PM2.5: 0.6  PM10: 1.3
Time: 2019-Nov-25__15_40_12PM2.5: 0.6  PM10: 1.3
Time: 2019-Nov-25__15_40_15PM2.5: 0.5  PM10: 1.2
Time: 2019-Nov-25__15_40_17PM2.5: 0.5  PM10: 1.1
Time: 2019-Nov-25__15_40_19PM2.5: 0.5  PM10: 1.1
Time: 2019-Nov-25__15_40_52PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_40_54PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_40_56PM2.5: 0.7  PM10: 4.8
Time: 2019-Nov-25__15_40_58PM2.5: 0.6  PM10: 3.3
Time: 2019-Nov-25__15_41_00PM2.5: 0.8  PM10: 2.8
Time: 2019-Nov-25__15_41_02PM2.5: 0.8  PM10: 2.4
Time: 2019-Nov-25__15_41_04PM2.5: 0.7  PM10: 2.0
Time: 2019-Nov-25__15_41_06PM2.5: 0.7  PM10: 1.7
Time: 2019-Nov-25__15_41_08PM2.5: 0.7  PM10: 1.6
Time: 2019-Nov-25__15_41_10PM2.5: 0.7  PM10: 1.5
Time: 2019-Nov-25__15_41_13PM2.5: 0.6  PM10: 1.4
Time: 2019-Nov-25__15_41_15PM2.5: 0.6  PM10: 1.4
Time: 2019-Nov-25__15_41_17PM2.5: 0.6  PM10: 1.3
Time: 2019-Nov-25__15_41_19PM2.5: 0.6  PM10: 1.3
Time: 2019-Nov-25__15_41_21PM2.5: 0.6  PM10: 1.2
Time: 2019-Nov-25__15_41_54PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_41_56PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_41_58PM2.5: 0.6  PM10: 10.0
Time: 2019-Nov-25__15_42_00PM2.5: 0.6  PM10: 6.8
Time: 2019-Nov-25__15_42_02PM2.5: 0.6  PM10: 5.4
Time: 2019-Nov-25__15_42_04PM2.5: 0.7  PM10: 4.5
Time: 2019-Nov-25__15_42_06PM2.5: 0.7  PM10: 3.6
Time: 2019-Nov-25__15_42_08PM2.5: 0.6  PM10: 3.5
Time: 2019-Nov-25__15_42_10PM2.5: 0.6  PM10: 3.2
Time: 2019-Nov-25__15_42_13PM2.5: 0.5  PM10: 2.9
